Song,Year,ID,Artists,Duration,Popularity,Danceability,Speechiness,Valence
Where Is the Love?,2003,0xmjwnQ3FNE6HuWCt2nHdZ,Black Eyed Peas,272533,81,0.834,0.178,0.809
The Game of Love,2003,41IShViF79gmulEkIHAjcb,Santana,254466,64,0.59,0.0478,0.674
Lose Yourself,2003,5Z01UMMf7V1o0MzF86s6WJ,Eminem,326466,78,0.692,0.257,0.0612
Rock wit U (Awww Baby),2003,6pWzCKTrKrwbUPzY8RLCoP,Ashanti,209120,70,0.71,0.0582,0.849
Cry Me a River,2003,7Lf7oSEVdzZqTA0kEDSlS5,Justin Timberlake,288333,77,0.624,0.183,0.564
How You Gonna Act Like That,2003,3OUApyz3jDB3syGUNGqB1d,Tyrese,294693,64,0.733,0.0457,0.525
Rock Your Body,2003,1AWQoqb9bSvzTjaLralEkT,Justin Timberlake,267266,81,0.892,0.141,0.817
No Letting Go,2003,5dWfl2PBpKHpBVdz95wxK1,Wayne Wonder,202013,66,0.496,0.0444,0.317
Frontin',2003,0iFOG4Ki9aDmJUYUFHQlPG,Pharrell Williams,236506,68,0.894,0.13,0.759
Landslide,2003,5ihS6UUlyQAfmp48eSkxuQ,Fleetwood Mac,199493,79,0.414,0.0318,0.423
Work It,2003,3jagJCUbdqhDSPuxP8cAqF,Missy Elliott,263226,70,0.884,0.283,0.584
03 Bonnie & Clyde,2003,5ljCWsDlSyJ41kwqym2ORw,JAY-Z,205560,71,0.759,0.314,0.327
Don't Mess with My Man,2003,39YovPslPCXbFYhlYjsZ2Y,Nivea,213226,56,0.879,0.164,0.885
So Gone,2003,6BIcjFZIVDZxNAcofRFPx4,Monica,242773,64,0.618,0.0981,0.586
Air Force Ones,2003,7kAFSrTIOiVZ0gnHBuAH3l,Nelly,304000,63,0.784,0.317,0.618
"Never Leave You (Uh Oooh, Uh Oooh)",2003,1AjQE5MtP5jHQMyDepbvLI,Lumidee,184906,64,0.811,0.362,0.777
Beautiful,2003,2rxQMGVafnNaRaXlRMWPde,Luke Combs,193200,82,0.551,0.0262,0.382
Gossip Folks,2003,75DjPjiIp2fvJDjtt41Jfs,Missy Elliott,234893,58,0.707,0.505,0.439
Miss Independent,2003,34ceTg8ChN5HjrqiIYCn9Q,Ne-Yo,232000,78,0.673,0.115,0.713
Calling All Angels,2003,0E29BKKGCJHcb7b9oIWgGB,Train,242200,58,0.454,0.0441,0.529
Damn!,2003,1YB9GTk2x4VpPP2ljKxvGS,Sleepy Hallow,130537,67,0.806,0.298,0.491
This Is the Night,2003,3gVDRvW6xR3aKdPWkUOVdo,The The,230413,43,0.623,0.0234,0.332
Your Body Is a Wonderland,2003,7vFv0yFGMJW3qVXbAd9BK9,John Mayer,249626,74,0.647,0.0236,0.687
Headstrong,2003,1AEYT6VxrxXPMoQUxsY0E4,Trapt,285569,74,0.492,0.117,0.534
In Those Jeans,2003,5ojJNnX5ND2gMGojPd3NiO,Ginuwine,243306,61,0.691,0.0776,0.319
Stand Up,2003,2CtCwQhY0ZLvr8L2l8Bo6e,Ludacris,213760,59,0.751,0.349,0.801
The Remedy (I Won't Worry),2003,4tK4ARuilOrBzwVQK73E0Y,Jason Mraz,256440,63,0.589,0.0385,0.795
Why Don't You & I,2003,0sNKiz82ATCvT3f3XVVUUj,The Offspring,172466,75,0.766,0.0719,0.544
Excuse Me Miss,2003,0ZHu7jkSSrT0eK4OxuG4O5,JAY-Z,281240,57,0.714,0.286,0.887
Jenny from the Block,2003,4ZOyH6KjomjlqCz3oFqglr,Jennifer Lopez,187840,64,0.844,0.207,0.961
Are You Happy Now?,2003,5B7XIcS5T76NJZFOHX30Io,Michelle Branch,230760,52,0.484,0.046,0.717
Forever and for Always,2003,5eQtR62IZ8P8qZM2pSD9Ip,Shania Twain,283000,59,0.469,0.0326,0.529
I Can,2003,5kHMfzgLZP95O9NBy0ku4v,Taylor Swift,273186,88,0.694,0.0337,0.819
Underneath It All,2003,6fR6Z0Vc1K6yQWNUIKjAIR,No Doubt,302720,64,0.729,0.0682,0.838
If You're Not the One,2003,4gJoAvFpDvaeqm2EKYGmhb,Daniel Bedingfield,257160,53,0.687,0.0305,0.264
Thoia Thoing,2003,5uj2AfrbHQREGXVxhqhvyU,R. Kelly,221266,36,0.582,0.307,0.936
Here Without You,2003,3NLrRZoMF0Lx6zTlYqeIo4,3 Doors Down,238733,77,0.557,0.0252,0.233
Wanksta,2003,6rpNe6gSkmiYW6BfSFATi5,50 Cent,219400,57,0.806,0.157,0.904
My Love Is Like...Wo,2003,3Gamc2D6VSlXpUcmhPUFYt,Mýa,209490,52,0.835,0.124,0.708
It's Five O'Clock Somewhere,2003,07KYRDFf8Q6sqj4PWCP9vh,Alan Jackson,230266,66,0.713,0.0363,0.878
Like Glue,2003,56m8Wv3qRBfwLuO08GtfHs,Sean Paul,232506,66,0.757,0.319,0.589
Can't Hold Us Down,2003,0cv1Mnb47oMvjVKMc2cyZw,Christina Aguilera,255266,61,0.859,0.192,0.538
My Front Porch Looking In,2003,2CVJECHIdpe8otFH0XFI4F,Lonestar,223573,57,0.529,0.0511,0.454
Angel,2003,1daDRI9ahBonbWD8YcxOIB,Miley Cyrus,196453,89,0.672,0.0313,0.494
She Hates Me,2003,16DhvbuyvJob4Q9GHNYu2n,Puddle Of Mudd,216760,72,0.58,0.0323,0.584
Don't Wanna Try,2003,1XE1UGRpvvkaFEeqe1OJpw,Frankie J,245293,48,0.655,0.0348,0.199
