Song,Year,ID,Artists,Duration,Popularity,Danceability,Speechiness,Valence
Mood Swings,2020,5rZlwNFl01HqLWBQGryKSm,Pop Smoke,213333,78,0.48,0.368,0.269
You Should Be Sad,2020,7lidXGPXPYLNThITAOTlkK,Halsey,205473,72,0.591,0.0277,0.324
Dior,2020,79s5XnCN4TJKTVMSmOx8Ep,Pop Smoke,216386,82,0.548,0.351,0.648
Supalonely,2020,4nK5YrxbMGZstTLbvj6Gxw,BENEE,223480,70,0.863,0.0534,0.817
Even Though I'm Leaving,2020,5Fhe63YOMZsGdB3CgCDuBi,Luke Combs,225253,70,0.554,0.0319,0.624
The Scotts,2020,39Yp9wwQiSRIDOvrVg7mbk,THE SCOTTS,165977,75,0.716,0.0514,0.28
Juicy,2020,5ByAIlEEnxYdvpnezg7HTX,The Notorious B.I.G.,302760,77,0.889,0.253,0.782
Be Like That,2020,5f1joOtoMeyppIcJGZQvqJ,Kane Brown,191406,71,0.727,0.0726,0.322
Homesick,2020,0jkzxxDG8z3Y5OmfNl1VM0,Noah Kahan,194416,75,0.503,0.0407,0.43
Rags2Riches,2020,40TPiJpvwGIyvPjJMDTKfy,Rod Wave,235987,71,0.874,0.241,0.298
Bluebird,2020,0kPeZAyIhIfeZNrtfjJGDB,Miranda Lambert,209760,70,0.661,0.0348,0.613
Wishing Well,2020,2U5WueTLIK5WJLD7mvDODv,Juice WRLD,194621,78,0.65,0.128,0.0804
Does to Me,2020,0nGXi46VcQQ56ZJR428MKS,Luke Combs,223320,69,0.616,0.0373,0.638
Pussy Fairy (OTW),2020,48KXAIruJ07kJVCWOGohMV,Jhené Aiko,181860,69,0.572,0.212,0.35
ILY (I Love You Baby),2020,62aP9fBQKYKxi7PDXwcUAS,Surf Mesa,176546,77,0.674,0.0892,0.33
More Than My Hometown,2020,5OELUCYgOHKFAvCERnAvfS,Morgan Wallen,216573,79,0.62,0.0462,0.597
Lovin' on You,2020,0nYvjcSlCgjcwogQAwIwNp,Luke Combs,194866,72,0.572,0.06,0.53
Said Sum,2020,3sKz6Sd72K0ofPWcJPPk6H,Moneybagg Yo,155168,65,0.929,0.353,0.274
Slide,2020,0nnwn7LWHCAu09jfuH1xTA,The Goo Goo Dolls,212066,73,0.395,0.0374,0.481
Walk Em Down,2020,1Z0cZI0UzNbP9L8MzzGxqf,NLE Choppa,173288,76,0.867,0.227,0.645
Levitating,2021,5nujrmhLynf4yMoMtj8AQF,Dua Lipa,203064,84,0.702,0.0601,0.915
Save Your Tears,2021,5QO79kh1waicV47BqGRL3g,The Weeknd,215626,88,0.68,0.0309,0.644
Blinding Lights,2021,0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,200040,90,0.514,0.0598,0.334
Mood24kGoldn,2021,6Aq11rJ3zkttNmgLv18GEV,Chill Sunset Cafe,201235,28,0.643,0.0313,0.213
Good 4 u,2021,4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,178146,86,0.563,0.154,0.688
Kiss Me More,2021,3DarAbFujv6eYNliUTyqtz,Doja Cat,208666,82,0.764,0.0284,0.781
Leave the Door Open,2021,02VBYrHfVwfEWXk5DXyf0T,Bruno Mars,242096,82,0.586,0.0324,0.719
Drivers License,2021,5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,242013,87,0.561,0.0578,0.137
Montero (Call me by your name),2021,1SC5rEoYDGUK4NfG82494W,Lil Nas X,137704,79,0.593,0.22,0.71
Peaches,2021,1KUZ33cOqk3X4Ezk0aZnVp,Young Nudy,203813,78,0.911,0.282,0.584
Butter,2021,2cYqizR4lgvp4Qu6IQ3qGN,Travis Scott,190557,81,0.763,0.05,0.193
Stay,2021,789CxjEOtO76BVD1A9yJQH,Rihanna,240706,73,0.621,0.0283,0.125
Deja Vu,2021,6HU7h9RYOaPRFeh0R3UeAr,Olivia Rodrigo,215506,88,0.442,0.112,0.178
Positions,2021,35mvY5S1H3J2QZyna3TFe0,Ariana Grande,172324,82,0.737,0.0878,0.682
Bad Habits,2021,3rmo8F54jFF8OgYsqTxm5d,Ed Sheeran,230746,84,0.807,0.0347,0.537
Heat Waves,2021,3USxtqRwSYz57Ewm6wWRMp,Glass Animals,238805,90,0.761,0.0944,0.531
Without You,2021,1KMkcUvF7m3SDChDOa7i5L,The Kid LAROI,161384,77,0.662,0.0299,0.467
Forever After All,2021,6IBcOGPsniK3Pso1wHIhew,Luke Combs,232533,79,0.487,0.0253,0.456
Go Crazy,2021,1IIKrJVP1C9N7iPtG6eOsK,Chris Brown,176960,76,0.755,0.145,0.581
Astronaut in the Ocean,2021,3Ofmpyhv5UAQ70mENzB277,Masked Wolf,132780,76,0.778,0.0913,0.472
34+35,2021,6Im9k8u9iIzKMrmV7BWtlF,Ariana Grande,173710,79,0.83,0.094,0.485
What You Know Bout Love,2021,1tkg4EHVoqnhR6iFEXb60y,Pop Smoke,160000,82,0.709,0.353,0.543
My Ex's Best Friend,2021,7kDUspsoYfLkWnZR7qwHZl,Machine Gun Kelly,139460,75,0.731,0.0434,0.298
Industry Baby,2021,27NovPIUIRrOZoCHxABJwK,Lil Nas X,212000,80,0.736,0.0615,0.894
Therefore I Am,2021,54bFM56PmE4YLRnqpW6Tha,Billie Eilish,174321,74,0.889,0.0697,0.716
